"","id","female","edu","marriage","health"
"121",321,1,2,1,3
"122",322,0,4,1,1
"123",323,0,2,0,3
"124",324,0,2,0,3
"125",325,0,2,0,2
"126",326,0,4,0,3
"127",327,1,3,0,2
"128",328,1,4,0,3
"129",329,0,3,0,2
"130",330,1,1,1,2
"131",331,0,4,1,2
"132",332,1,4,0,2
"133",333,1,3,0,1
"134",334,1,2,1,1
"135",335,1,3,1,3
"136",336,0,4,0,2
"137",337,1,2,0,1
"138",338,1,2,1,3
"139",339,0,2,1,3
"140",340,1,1,1,2
"141",341,1,3,1,1
"142",342,1,2,1,2
"143",343,0,4,0,1
"144",344,1,2,1,2
"145",345,1,3,0,1
"146",346,1,3,1,2
"147",347,1,4,0,1
"148",348,1,2,0,3
"149",349,0,4,0,2
"150",350,0,1,0,2
"151",351,0,3,1,1
"152",352,0,4,1,1
"153",353,1,3,0,2
"154",354,1,3,0,2
"155",355,1,4,1,3
"156",356,1,2,1,2
"157",357,0,2,1,3
"158",358,0,3,1,3
"159",359,1,1,1,1
"160",360,0,4,1,1
"161",361,0,2,0,2
"162",362,0,2,1,2
"163",363,1,2,0,2
"164",364,1,1,1,2
"165",365,0,1,1,3
"166",366,0,1,0,1
"167",367,0,4,0,2
"168",368,0,3,1,1
"169",369,1,2,1,2
"170",370,1,2,1,1
"171",371,1,4,0,1
"172",372,0,3,0,2
"173",373,0,4,0,2
"174",374,0,4,0,1
"175",375,1,2,0,3
"176",376,1,4,0,2
"177",377,1,3,0,1
"178",378,0,2,1,2
"179",379,0,2,0,1
"180",380,1,1,1,3
"181",381,0,4,0,3
"182",382,1,4,1,3
"183",383,0,1,1,3
"184",384,0,4,1,1
"185",385,1,4,0,2
"186",386,0,2,0,3
"187",387,1,3,0,2
"188",388,1,4,0,1
"189",389,0,3,0,2
"190",390,0,4,0,3
"191",391,0,4,0,3
"192",392,1,3,1,2
"193",393,1,3,1,2
"194",394,1,2,0,2
"195",395,0,3,0,2
"196",396,1,3,0,1
"197",397,0,2,1,3
"198",398,1,2,1,3
"199",399,1,3,0,3
"200",400,0,3,1,3
"201",401,1,2,0,3
"202",402,1,2,0,1
"203",403,1,4,0,3
"204",404,1,4,1,3
"205",405,0,3,1,2
"206",406,0,3,0,3
"207",407,1,3,1,2
"208",408,0,1,1,1
"209",409,0,1,1,2
"210",410,1,4,1,1
"211",411,1,1,0,2
"212",412,0,3,1,2
"213",413,1,1,1,2
"214",414,0,2,1,2
"215",415,1,2,0,2
"216",416,1,2,1,2
"217",417,1,2,0,1
"218",418,0,2,0,3
"219",419,1,3,0,2
"220",420,1,2,0,2
"221",421,1,2,0,1
"222",422,1,4,0,2
"223",423,0,2,1,2
"224",424,0,3,1,2
"225",425,1,4,1,3
"226",426,1,2,0,3
"227",427,0,1,1,2
"228",428,1,3,0,3
"229",429,1,2,0,1
"230",430,1,1,1,2
"231",431,1,3,0,2
"232",432,0,3,1,1
"233",433,0,4,1,1
"234",434,1,4,0,2
"235",435,0,2,0,2
"236",436,0,4,1,3
"237",437,0,2,0,2
"238",438,1,1,0,2
"239",439,1,2,1,3
"240",440,1,2,1,3
"241",441,1,2,0,2
"242",442,1,2,0,2
"243",443,1,2,0,1
"244",444,0,1,1,1
"245",445,0,1,1,3
"246",446,0,4,1,3
"247",447,0,2,1,2
"248",448,1,1,1,2
"249",449,0,3,1,2
"250",450,1,2,0,2
"251",451,0,2,1,2
"252",452,0,2,1,2
"253",453,1,1,0,2
"254",454,1,2,0,2
"255",455,0,1,1,1
"256",456,0,2,1,2
"257",457,0,2,0,3
"258",458,1,4,0,2
"259",459,0,4,1,2
"260",460,0,2,0,2
"261",461,0,2,0,2
"262",462,0,4,1,3
"263",463,0,2,0,1
"264",464,0,3,1,3
"265",465,1,4,0,1
"266",466,0,4,0,2
"267",467,0,1,0,2
"268",468,1,1,0,2
"269",469,0,3,1,1
"270",470,1,2,1,2
"271",471,1,3,0,2
"272",472,0,3,0,2
"273",473,1,2,0,3
"274",474,1,2,1,2
"275",475,0,4,0,3
"276",476,1,1,1,3
"277",477,1,3,0,1
"278",478,0,4,0,3
"279",479,0,3,0,2
"280",480,0,1,0,3
"281",481,1,1,0,2
"282",482,0,2,0,2
"283",483,1,3,0,3
"284",484,1,3,1,1
"285",485,1,2,1,2
"286",486,1,2,1,2
"287",487,1,2,1,1
"288",488,1,2,0,1
"289",489,1,3,1,2
"290",490,1,4,1,2
"291",491,0,3,0,3
"292",492,1,3,1,1
"293",493,1,2,1,3
"294",494,0,1,0,3
"295",495,0,3,1,3
"296",496,1,2,0,2
"297",497,1,1,0,1
"298",498,1,4,1,2
"299",499,1,3,0,2
"300",500,1,4,0,3
"301",501,0,2,0,2
"302",502,0,3,0,2
"303",503,0,3,1,3
"304",504,0,3,1,1
"305",505,0,4,0,2
"306",506,1,1,1,2
"307",507,0,3,1,3
"308",508,1,4,1,3
"309",509,1,3,1,2
"310",510,1,2,0,1
"311",511,1,1,0,2
"312",512,1,3,1,1
"313",513,0,1,0,3
"314",514,1,1,0,3
"315",515,0,3,0,2
"316",516,1,3,0,2
"317",517,0,1,0,3
"318",518,1,1,0,3
"319",519,1,2,0,2
"320",520,1,4,1,3
"321",521,1,3,0,2
"322",522,1,2,1,2
"323",523,0,2,0,1
"324",524,1,3,0,2
"325",525,0,2,0,1
"326",526,0,1,0,1
"327",527,1,1,1,2
"328",528,0,3,1,2
"329",529,0,3,1,2
"330",530,0,4,1,2
"331",531,0,1,0,3
"332",532,1,4,1,2
"333",533,0,2,1,3
"334",534,0,3,0,2
"335",535,0,2,0,2
"336",536,0,2,0,3
"337",537,1,2,1,3
"338",538,1,2,0,2
"339",539,1,2,1,1
"340",540,0,4,1,1
"341",541,0,3,1,2
"342",542,0,2,1,2
"343",543,1,3,0,2
"344",544,0,2,0,3
"345",545,0,3,0,1
"346",546,0,2,1,2
"347",547,0,4,1,3
"348",548,1,1,0,3
"349",549,0,2,0,1
"350",550,0,3,1,2
"351",551,1,3,1,1
"352",552,1,3,1,3
"353",553,0,1,0,1
"354",554,0,4,0,2
"355",555,1,3,1,1
"356",556,0,3,1,2
"357",557,1,2,1,2
"358",558,1,1,0,2
"359",559,1,1,0,3
"360",560,1,2,0,1
"361",561,0,4,0,2
"362",562,1,3,0,2
"363",563,1,2,1,1
"364",564,1,4,1,2
"365",565,1,3,0,2
"366",566,1,1,0,3
"367",567,1,2,0,2
"368",568,0,2,1,1
"369",569,1,1,1,2
"370",570,1,3,1,1
"371",571,1,3,1,2
"372",572,0,2,0,1
"373",573,0,3,0,2
"374",574,0,2,0,3
"375",575,0,4,1,2
"376",576,0,2,0,2
"377",577,1,3,0,3
"378",578,1,1,0,3
"379",579,1,4,0,3
"380",580,1,1,1,3
"381",581,0,2,1,1
"382",582,1,2,1,3
"383",583,0,3,1,2
"384",584,0,1,0,3
"385",585,0,2,0,2
"386",586,1,3,1,2
"387",587,1,3,0,3
"388",588,0,3,0,3
"389",589,0,1,1,3
"390",590,0,2,0,1
"391",591,0,2,1,3
"392",592,1,2,1,2
"393",593,0,1,1,2
"394",594,0,2,1,3
"395",595,0,3,1,3
"396",596,1,3,0,3
"397",597,1,3,1,3
"398",598,1,2,1,1
"399",599,0,3,1,1
"400",600,1,2,0,2
"401",601,1,2,1,1
"402",602,0,3,0,3
"403",603,0,2,1,3
"404",604,1,2,1,2
"405",605,0,1,0,2
"406",606,1,3,1,2
"407",607,1,2,0,3
"408",608,0,3,1,2
"409",609,0,1,0,2
"410",610,1,2,0,2
"411",611,0,2,1,1
"412",612,1,2,1,2
"413",613,1,4,0,2
"414",614,1,3,1,1
"415",615,0,3,0,1
"416",616,0,2,1,2
"417",617,0,4,0,2
"418",618,1,4,0,1
"419",619,0,4,0,1
"420",620,0,2,0,1
"421",621,1,2,0,3
"422",622,1,2,0,3
"423",623,0,3,0,2
"424",624,0,2,0,3
"425",625,1,1,1,3
"426",626,1,3,0,2
"427",627,1,3,0,2
"428",628,1,3,1,3
"429",629,0,2,1,3
"430",630,1,1,0,2
"431",631,0,3,0,2
"432",632,1,4,1,1
"433",633,0,1,0,1
"434",634,1,1,1,3
"435",635,1,4,0,2
"436",636,0,2,0,1
"437",637,0,2,0,3
"438",638,0,4,1,1
"439",639,0,4,1,1
"440",640,0,2,1,2
"441",641,0,2,1,2
"442",642,1,2,0,2
"443",643,1,2,0,1
"444",644,0,2,1,2
"445",645,1,3,0,1
"446",646,0,1,1,2
"447",647,1,2,1,3
"448",648,1,3,0,3
"449",649,0,2,1,2
"450",650,1,3,1,1
"451",651,0,2,0,2
"452",652,1,2,1,2
"453",653,1,4,0,2
"454",654,1,1,0,3
"455",655,1,2,1,1
"456",656,1,1,0,2
"457",657,0,3,0,2
"458",658,1,4,0,1
"459",659,1,2,1,3
"460",660,0,3,0,3
"461",661,1,1,1,3
"462",662,0,1,1,2
"463",663,0,1,0,2
"464",664,0,3,0,2
"465",665,0,1,0,3
"466",666,1,3,1,1
"467",667,1,1,0,3
"468",668,0,1,0,2
"469",669,1,1,1,3
"470",670,1,2,1,3
"471",671,0,3,0,3
"472",672,1,1,1,2
"473",673,1,2,1,3
"474",674,0,2,0,3
"475",675,0,4,0,2
"476",676,0,2,1,2
"477",677,0,3,0,1
"478",678,0,3,0,3
"479",679,1,4,1,3
"480",680,1,1,0,2
"481",681,1,3,0,2
"482",682,0,2,1,3
"483",683,1,3,1,1
"484",684,1,3,0,2
"485",685,1,3,1,2
"486",686,1,2,1,2
"487",687,1,2,0,1
"488",688,1,2,0,2
"489",689,1,3,1,3
"490",690,1,3,1,2
"491",691,0,2,1,2
"492",692,0,2,1,3
"493",693,0,4,1,1
"494",694,1,2,0,1
"495",695,1,2,0,2
"496",696,1,3,1,2
"497",697,0,4,0,1
"498",698,0,1,1,2
"499",699,0,2,0,1
"500",700,1,3,0,2
